Operation, Opt_ID, Threads, Queue Depth, Device Queue Depth, KIOPS , Bandwidth(MiBs), cpu_core_index, usr, nice, sys, iowait, irq, soft, steal, guest, gnice, cpu_usages
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,37,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,38,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,39,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.03
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,40,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,41,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,42,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,43,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,44,0.01,0.0,4.43,0.0,1.37,0.0,0.0,0.0,0.0,5.81
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,45,0.01,0.0,2.94,0.0,0.73,0.01,0.0,0.0,0.0,3.6899999999999995
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,46,0.01,0.0,0.42,0.0,0.12,0.01,0.0,0.0,0.0,0.56
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,47,0.01,0.0,5.32,0.0,1.29,0.0,0.0,0.0,0.0,6.62
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,48,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.07
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,49,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.06,0.0,0.1
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,50,0.06,0.0,0.0,0.0,0.04,0.01,0.0,0.28,0.0,0.39
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,51,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.08
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,52,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.04
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,53,0.04,0.0,0.05,0.0,0.01,0.0,0.0,0.01,0.0,0.10999999999999999
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,54,0.02,0.0,0.02,0.0,0.03,0.01,0.0,0.02,0.0,0.1
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,55,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.04
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,56,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.04
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,57,0.02,0.0,0.07,0.0,0.01,0.0,0.0,0.03,0.0,0.13
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,58,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.04
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,59,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,60,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,61,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,62,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,63,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,0,1.08,0.0,4.7,0.0,0.59,1.08,0.0,0.0,0.0,7.45
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,1,1.04,0.0,4.81,0.0,0.39,0.09,0.0,0.0,0.0,6.329999999999999
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,2,1.09,0.0,4.85,0.0,0.37,0.02,0.0,0.0,0.0,6.329999999999999
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,3,1.36,0.0,4.7,0.0,0.38,0.01,0.0,0.0,0.0,6.45
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,4,1.26,0.0,4.5,0.0,0.3,0.01,0.0,0.0,0.0,6.069999999999999
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,5,1.71,0.0,4.61,0.0,0.32,0.01,0.0,0.0,0.0,6.65
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,6,1.07,0.0,4.49,0.0,0.25,0.0,0.0,0.0,0.0,5.8100000000000005
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,7,1.04,0.0,4.44,0.0,0.25,0.01,0.0,0.0,0.0,5.74
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,8,0.01,0.0,5.77,0.0,1.15,0.0,0.0,0.0,0.0,6.93
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,9,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,10,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,11,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.03
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,12,0.01,0.0,1.53,0.0,0.33,0.0,0.0,0.0,0.0,1.87
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,13,0.01,0.0,7.6,0.0,1.57,0.01,0.0,0.0,0.0,9.19
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,16,0.02,0.0,2.83,0.0,0.44,0.0,0.0,0.0,0.0,3.29
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,17,0.01,0.0,9.7,0.0,1.52,0.01,0.0,0.0,0.0,11.239999999999998
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,18,0.02,0.0,0.6,0.0,0.11,0.0,0.0,0.0,0.0,0.73
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,19,0.02,0.0,2.52,0.01,0.38,0.0,0.0,0.0,0.0,2.9299999999999997
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,20,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,21,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,22,0.03,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.08
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,23,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.04
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,24,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,25,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.07
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,26,0.05,0.0,0.02,0.0,0.01,0.0,0.0,0.03,0.0,0.11
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,27,0.02,0.0,0.03,0.0,0.02,0.0,0.0,0.02,0.0,0.09000000000000001
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,28,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,29,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,30,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,31,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,33,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.04
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,34,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.03
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,35,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.05
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,36,0.02,0.0,2.67,0.0,0.57,0.01,0.0,0.0,0.0,3.2699999999999996
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,37,0.01,0.0,24.56,0.0,5.71,0.04,0.0,0.0,0.0,30.32
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,38,0.01,0.0,0.69,0.0,0.17,0.01,0.0,0.0,0.0,0.88
